type_of_property,price,building_condition,facade_number,living_area,equipped_kitchen,terrace,garden,subtype_ecoded,km_to_capital
0,399000.0,2,2.0,130,1,8,0,7,9.67
0,575000.0,2,2.0,200,1,15,0,7,1.07
0,649000.0,2,2.0,129,2,1,280,7,1.61
0,649000.0,2,2.0,129,2,1,280,7,4.76
0,235000.0,2,2.0,57,2,10,0,7,1.61
0,250000.0,2,2.0,59,2,10,0,7,1.61
0,255000.0,2,2.0,74,2,12,0,7,1.61
0,260000.0,2,2.0,76,2,12,0,7,1.61
0,265000.0,2,2.0,94,0,11,0,7,27.25
0,265000.0,2,2.0,59,2,10,0,7,1.61
0,299000.0,2,2.0,107,2,5,0,7,2.5
0,320000.0,2,2.0,76,2,12,0,7,1.61
0,325000.0,2,2.0,81,2,13,0,7,1.61
0,340000.0,2,2.0,96,2,26,0,7,1.61
1,319000.0,2,3.0,145,1,0,0,12,3.53
0,219000.0,2,2.0,85,0,1,0,6,5.19
0,265000.0,2,3.0,94,2,1,0,7,3.33
0,287000.0,2,3.0,116,1,6,0,7,21.69
0,214900.0,2,2.0,82,1,0,0,7,2.07
0,219900.0,2,2.0,82,1,0,0,7,2.07
0,219900.0,2,2.0,82,1,0,0,7,2.07
0,285000.0,2,2.0,79,1,0,0,7,0.41
0,285000.0,2,2.0,79,1,0,0,7,0.41
0,169000.0,2,2.0,77,0,1,0,7,27.25
0,235000.0,2,2.0,80,1,0,0,7,3.91
0,650000.0,1,2.0,223,0,0,0,7,21.36
0,319000.0,2,2.0,106,2,12,0,7,4.01
0,225000.0,2,2.0,99,1,0,0,7,3.95
0,199900.0,2,3.0,85,1,3,0,7,3.95
0,365000.0,2,2.0,107,1,14,0,7,17.38
0,229000.0,1,2.0,127,1,14,0,7,18.6
0,249000.0,2,2.0,60,0,5,0,7,3.3
0,370000.0,2,2.0,91,1,8,0,7,2.1
0,295000.0,2,3.0,110,1,21,55,7,29.35
0,325000.0,2,3.0,126,1,12,0,7,1.85
0,269000.0,2,2.0,130,2,54,0,7,3.96
0,469000.0,2,2.0,116,1,4,0,7,1.07
0,99000.0,2,3.0,47,1,0,0,7,3.53
0,124999.0,2,2.0,48,0,0,0,7,24.7
0,229000.0,2,2.0,104,1,0,0,7,27.25
0,349500.0,2,2.0,46,2,0,0,7,17.1
0,144000.0,2,2.0,54,0,4,0,7,21.36
0,159000.0,1,2.0,81,2,6,0,7,2.98
0,165000.0,1,2.0,62,2,0,0,7,1.22
0,185000.0,2,2.0,67,0,5,0,7,21.36
1,199000.0,1,2.0,106,0,0,0,12,5.1
0,274000.0,2,2.0,120,1,1,0,7,20.1
0,1095000.0,2,2.0,362,2,1,170,7,3.33
0,299000.0,2,2.0,113,1,12,0,7,3.33
0,499000.0,2,2.0,161,1,106,0,7,3.33
0,695000.0,2,2.0,150,1,1,0,7,3.3
0,168000.0,2,2.0,33,0,1,0,2,33.32
0,245000.0,2,2.0,123,2,0,80,7,18.43
0,325000.0,2,2.0,86,1,10,0,7,2.53
0,239000.0,2,2.0,85,1,1,0,7,30.04
0,205000.0,2,2.0,42,2,3,0,7,29.31
0,249900.0,2,3.0,100,1,4,0,7,6.52
0,365000.0,2,2.0,126,1,1,0,11,43.59
0,885000.0,2,2.0,165,1,0,0,7,1.07
0,1150000.0,2,2.0,198,0,42,0,15,2.57
0,225000.0,1,2.0,80,0,0,0,7,2.08
0,245000.0,2,2.0,68,0,0,0,7,2.08
0,315000.0,2,2.0,93,2,1,0,7,4.04
0,320000.0,1,2.0,85,0,0,0,7,1.61
0,495000.0,2,2.0,165,1,17,79,7,17.38
0,325000.0,2,2.0,89,1,25,148,7,5.02
0,199000.0,2,4.0,78,1,10,0,7,3.32
0,465000.0,1,2.0,79,1,1,0,7,17.1
0,900000.0,2,2.0,186,2,1,163,7,3.3
0,308750.0,2,2.0,70,0,6,0,7,13.25
0,299000.0,2,3.0,67,1,16,0,7,5.29
0,225000.0,2,2.0,71,0,0,0,7,15.77
0,235000.0,2,2.0,53,1,0,0,0,1.07
1,385000.0,2,3.0,126,1,6,0,12,36.34
0,385000.0,2,3.0,126,1,6,0,7,36.34
0,345000.0,2,3.0,125,1,0,0,7,52.62
0,460000.0,2,2.0,141,2,0,25,7,5.29
0,885000.0,2,3.0,200,2,14,0,7,6.38
0,259000.0,2,2.0,98,1,6,0,7,5.95
0,295000.0,2,2.0,98,1,5,0,7,5.95
0,695000.0,2,3.0,125,2,27,0,7,5.29
0,749000.0,2,3.0,201,1,6,0,7,36.34
0,139000.0,1,2.0,95,0,10,100,7,21.36
0,149500.0,1,3.0,89,0,1,0,7,1.07
0,180000.0,1,4.0,95,1,13,0,7,27.05
0,249900.0,2,2.0,97,0,3,0,7,6.62
0,175000.0,2,4.0,103,1,1,0,7,29.75
0,190000.0,2,4.0,103,1,1,0,7,29.75
0,235000.0,2,2.0,80,1,1,0,7,31.65
0,269000.0,2,2.0,70,2,10,0,7,5.29
0,269000.0,2,2.0,70,2,10,0,7,28.94
0,335000.0,2,2.0,106,1,3,0,7,4.04
0,775000.0,2,2.0,85,1,0,0,7,17.1
0,215000.0,2,2.0,66,0,0,0,7,27.57
0,289000.0,2,3.0,107,1,1,0,7,24.7
0,365000.0,2,2.0,95,1,1,0,7,1.07
0,385000.0,2,2.0,129,1,16,0,7,17.38
0,220000.0,2,2.0,93,1,0,0,7,28.12
0,495000.0,2,2.0,103,0,1,0,7,42.59
0,1200000.0,2,2.0,233,2,1,150,7,0.41
0,1200000.0,2,2.0,233,2,1,150,7,3.3
0,239900.0,2,2.0,97,0,1,0,7,71.94
0,275000.0,2,2.0,72,2,2,0,7,5.1
0,325000.0,2,2.0,107,2,5,0,15,0.41
0,325000.0,2,2.0,107,2,5,0,15,2.5
0,190000.0,2,2.0,43,1,0,0,2,2.57
0,229000.0,2,3.0,93,1,13,0,7,3.53
0,365000.0,2,2.0,110,1,14,0,7,6.38
0,169000.0,2,2.0,39,1,5,0,2,13.65
1,460000.0,2,2.0,146,2,52,0,12,0.41
0,408000.0,2,4.0,103,2,19,91,7,13.95
0,259000.0,2,2.0,89,0,1,0,7,9.64
0,299000.0,2,3.0,75,1,40,0,6,24.14
0,325000.0,2,2.0,84,1,0,0,7,17.91
0,260000.0,2,2.0,94,1,9,0,7,23.16
0,265000.0,2,2.0,110,1,0,0,7,1.07
0,307500.0,2,2.0,174,1,0,0,7,8.41
0,307500.0,2,2.0,174,1,0,0,7,8.97
0,310000.0,2,2.0,133,2,36,0,7,18.41
0,475000.0,2,2.0,145,1,0,0,7,0.41
0,900000.0,2,2.0,186,2,1,163,7,0.41
0,1250000.0,2,2.0,110,1,1,0,7,17.1
0,1250000.0,2,2.0,110,1,1,0,7,11.72
